Geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,72.2,81.1,82.4,76.7,86.8,82.9,86.3,83.3,90.3,95.4
Bulgaria,,,,,,,,,,
Czech Republic,19.8,17.9,15.8,18.4,22.8,23.6,26.7,28.2,28.8,31.8
Denmark,41.5,45.9,46.8,43.9,43.7,43.9,44.4,45.2,44.9,43.3
Germany,7,7.6,8.1,9.8,10.3,11.3,11.9,10.5,10.9,12.5
Estonia,12.6,9.8,9.7,9.3,10.5,10.4,8.4,7.5,7.1,5.5
Ireland,73.3,69.7,68.7,76.2,75.3,81.7,79.6,63.5,69.6,93.9
Greece,44,44.8,38.2,33.2,32.7,29.8,35.9,24.5,15.3,16.6
Spain,36,33.8,35.3,35.8,36.2,39,43.6,40.2,40.2,44.8
France,20.1,21.2,20.9,22.2,22.3,25.8,24.4,29.5,28.4,31.3
Croatia,,,,,,,,,,1.6
Italy,37.7,38,36,36.6,35,35.4,36.1,31.1,31.3,33.3
Cyprus,19.6,17.2,14.7,16.1,16.9,17.9,20.9,26.9,25.2,24.6
Latvia,11.9,8.2,8.4,7.6,8.9,6.7,5.5,5.6,3.7,3.8
Lithuania,2,2,1.9,2,1.3,1.1,2.1,2,2.1,2.2
Luxembourg,18.5,19.1,22.8,22.5,23.6,25.3,27.1,25.4,25.7,25.2
Hungary,4.9,4.5,4.3,5.4,5,3.2,5.2,4.2,4.7,4.8
Malta,1.5,1.6,2.4,0.9,4.6,8.8,10.9,9.1,9,14.9
Netherlands,6.22,6.59,6.7,6.85,7.98,9.78,9.6,8.97,12.22,11.28
Austria,11.1,13.3,13.1,15.3,15.2,15.7,15.8,16.1,16.3,18.1
Poland,6,6.4,6.7,8.7,22.3,33.4,38.7,27,20.3,24.3
Portugal,24,26.9,22.1,23,25.1,25.8,36.8,27.3,8.1,26.1
Romania,,,,,,,,,,
Slovakia,,,,,,,,,,
Finland,14.9,16.9,16.7,15.6,16.4,15.4,16.7,17.5,27.4,31.6
Sweden,5.54,5.63,5.71,6.41,7.57,8.67,9.88,10.23,10.64,11.07
Iceland,2.8,2.5,2.1,2.5,2.5,3,2.5,2.6,5.2,5.4
Norway,47,40.5,45.9,45.4,41.3,53.4,50.4,46.4,47,52.7
United Kingdom,70.36,75.62,79.6,86.64,87.58,82.08,82.76,,,
Montenegro,1.4,,,1.8,1.8,2,1.6,,,
Macedonia,,,,,,,,,,
Serbia,,1.4,1.1,1.3,,,,,,
