Country,Education_student_work,Education_employed_other,Education_employed,Education_unemployed,Education_inactive,Education,NE_employed,NE_unemployed,NE_inactive,NE_neet,NE,Total,Amount,Below_upper_secondary,Upper_secondary,Tertiary,Shortcycle_tertiary,Bachelor,Master,Doctoral,Earnings_below_upper_secondary,Earnings_tertiary,Earnings_shortcycle_tertiary,Earnings_Bachelor,Earnings_master,Earnings_doctoral,Earnings_upper_secondary
Australia,5.0,30.0,36.0,2.0,10.0,48.0,41.0,4.0,7.0,11.0,52.0,100.0,1631532.0,62.0,80.3,86.4,85.0,86.3,87.4,91.7,89.0,127.0,106.0,127.0,133.0,148.0,
Austria,8.0,14.0,22.0,1.0,26.0,49.0,40.0,4.0,6.0,10.0,51.0,100.0,498119.0,55.4,77.9,87.1,86.0,82.5,89.6,92.9,77.0,144.0,127.0,104.0,157.0,171.0,
Belgium,1.0,8.0,10.0,1.0,58.0,68.0,22.0,4.0,6.0,10.0,32.0,100.0,675071.0,47.0,73.7,87.7,85.2,85.8,90.0,91.3,86.0,142.0,,127.0,142.0,158.0,
Canada,,25.0,25.0,2.0,23.0,50.0,38.0,5.0,7.0,12.0,50.0,100.0,2520278.0,57.8,75.7,83.4,80.9,84.4,86.8,,79.0,134.0,112.0,141.0,148.0,161.0,110.0
Chile,,8.0,8.0,3.0,45.0,55.0,19.0,8.0,18.0,26.0,45.0,100.0,1378746.0,52.1,62.6,80.0,72.9,82.6,90.9,,71.0,241.0,138.0,279.0,299.0,457.0,106.0
Colombia,,7.0,7.0,2.0,23.0,32.0,39.0,11.0,17.0,29.0,68.0,100.0,4338110.0,63.6,69.1,79.5,,79.5,,,71.0,237.0,,,,,
Costa Rica,,14.0,14.0,9.0,27.0,50.0,27.0,11.0,12.0,23.0,50.0,100.0,410043.0,63.2,70.9,80.4,72.9,82.3,86.4,,77.0,212.0,138.0,210.0,233.0,339.0,
Czech Republic,0.0,,0.0,,58.0,58.0,11.0,0.0,30.0,31.0,42.0,100.0,,,,,,,,,,,,,,,
Denmark,,33.0,33.0,4.0,22.0,58.0,32.0,3.0,7.0,10.0,42.0,100.0,373816.0,62.6,83.2,88.5,87.4,86.9,90.4,95.3,90.0,124.0,110.0,113.0,126.0,144.0,
Estonia,,25.0,25.0,5.0,29.0,58.0,27.0,6.0,9.0,15.0,42.0,100.0,63252.0,69.3,82.1,88.4,80.7,89.3,89.5,95.5,92.0,135.0,89.0,132.0,142.0,148.0,
Finland,,23.0,23.0,4.0,32.0,59.0,30.0,3.0,8.0,11.0,41.0,100.0,304825.0,56.3,78.5,88.7,83.3,88.7,90.4,,100.0,139.0,122.0,122.0,143.0,163.0,105.0
