Geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,15.2,15.4,16.1,13.0,14.6,17.5,12.7,15.8,20.6,19.6
Bulgaria,0,0,0,0,0,0,0,0,0,0
Czechia,38.1,40.3,23.4,32.3,30.8,41.0,38.2,35.0,28.6,30.8
Denmark,36.4,39.9,40.4,42.6,40.9,41.4,40.4,44.5,45.9,53.4
Germany,36.0,35.1,33.2,29.7,29.9,35.8,40.4,38.0,36.9,40.4
Estonia,38.3,34.3,39.5,44.0,37.7,44.2,42.1,38.5,25.7,33.4
Ireland,27.7,29.5,28.6,39.7,35.1,36.3,34.0,29.9,34.3,51.1
Greece,13.7,17.0,17.9,20.8,18.3,20.2,21.6,17.8,18.5,23.7
Spain,18.3,18.9,22.1,23.4,26.8,29.6,32.1,25.3,26.2,31.3
France,18.4,22.0,20.3,21.1,16.3,22.1,20.1,24.9,24.1,28.9
Croatia,0,0,0,0,0,0,0,0,0,0
Italy,21.8,19.3,19.4,21.0,25.4,26.0,24.8,24.0,23.4,25.7
Cyprus,45.4,50.2,41.7,35.1,31.8,38.1,46.1,53.0,54.0,43.4
Latvia,34.1,33.7,39.9,45.9,57.5,44.9,55.3,55.8,38.3,40.1
Lithuania,61.49285714285725,60.38214285714275,59.271428571428714,71.9,47.5,42.8,55.7,57.5,60.3,48.1
Luxembourg,25.6,25.763709677419286,28.4,21.3,22.2,28.5,33.0,27.1,34.4,19.0
Hungary,0,0,0,0,0,0,0,0,0,0
Malta,83.6,55.0,59.6,56.35000000000127,41.9,42.6,46.9,40.6,30.6,62.0
Netherlands,35.2,37.4,39.6,44.7,44.9,48.1,45.9,37.8,50.3,51.5
Austria,40.4,39.5,40.5,37.0,36.9,44.6,40.6,41.3,42.1,44.6
Poland,34.91666666666697,38.266666666667334,41.61666666666679,44.96666666666715,50.0,48.3,56.7,58.36666666666679,61.71666666666715,65.0666666666666
Portugal,25.6,30.7,22.8,30.0,42.9,33.1,39.6,30.7,40.2,39.1
Romania,0,0,0,0,0,0,0,0,0,0
Slovenia,20.0,15.9,23.7,30.0,37.3,37.3,34.4,39.9,44.3,39.2
Finland,29.0,26.8,29.6,21.0,29.9,24.1,27.2,33.9,36.7,46.1
Sweden,21.6,19.5,21.2,26.1,31.2,34.4,36.3,35.5,37.7,49.3
Iceland,78.8,73.3,78.3,83.3,87.5,89.9,80.3,64.2,71.1,90.3
Norway,40.0,31.8,31.9,27.7,29.1,30.7,28.0,27.8,38.2,46.0
United Kingdom,24.4,25.5,27.5,29.3,27.7,29.2,30.3,31.31428571428569,32.217857142857156,33.121428571428396
