Geo,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,410127,419822,450827,455108,462435,478327,496596,515620,530091
Bulgaria,40614,51246,58807,64074,70920,80202,90294,102270,106646
Czechia,261302,272993,280907,302579,296072,324947,341646,326837,364699
Denmark,233023,244380,267192,274990,284537,292993,298005,314550,317962
Germany,3826401,4055321,4840650,5223701,5462268,5694104,5932244,6112299,6358798
Estonia,187087,183276,182266,179888,178270,178267,178791,180112,181102
Ireland,121149,117015,124709,138315,143598,162604,179755,299242,314838
Greece,662335,623246,591693,604813,604904,618522,715227,752935,632657
Spain,2685348,2505196,2482814,2485761,2630781,2871969,3205467,3633059,3664048
France,2761041,2932149,3021074,3049039,3381026,3395945,3546602,3735239,3828711
Croatia,21126,24218,26678,30086,34623,47705,66575,76645,24590
Italy,3479566,3521825,3508429,3509089,3581561,3494871,3534578,3764839,3640764
Cyprus,48465,38242,30479,29738,34632,37810,42204,69120,75887
Latvia,298616,291440,282792,273333,266167,260028,253658,245962,238253
Lithuania,16039,16573,12311,13313,20062,38673,56459,70788,30591
Luxembourg,34482,36429,39618,40795,43438,45030,48210,54890,57916
Hungary,59335,64821,71062,71414,83418,106145,118534,118400,123251
Malta,13810,18894,23177,24073,28582,37810,50419,61000,62417
Netherlands,330382,338773,367744,413401,451197,487514,529730,565821,574038
Austria,539292,566370,639645,673207,687452,692473,700601,719393,741486
Poland,71543,76595,123926,180334,208574,257507,321042,374236,419024
Portugal,300711,294778,283500,279562,284793,321355,405598,503477,529694
Romania,52529,54687,58858,60476,57250,60518,75911,83783,28001
Slovakia,12476,13064,13901,14687,15439,16313,17132,20468,22217
Finland,121882,127792,133136,143757,148491,155056,163756,177233,190431
Sweden,384947,416246,447664,505332,543921,578398,587951,578657,556363
Iceland,4478,4368,4535,5040,5812,6710,7713,10148,11208
Norway,176126,183138,190150,207419,211442,221353,230323,239292,223426
United Kingdom,2425088,2432666,2435596,2445610,2425737,2490089,2554441,2544371,2612589
