Country,Amount
Australia,1631532
Austria,498119
Belgium,675071
Canada,2520278
Chile,1378746
Colombia,4338110
Costa Rica,410043
Czechia,497330
Denmark,373816
Estonia,63252
Finland,304825
France,3948282
Germany,4526127
Greece,499995
Hungary,519613
Iceland,26132
Ireland,318785
Israel,695600
Italy,2927450
Japan,6263291
Korea,3099640
Latvia,83939
Lithuania,138574
Luxembourg,38826
Mexico,10821598
Netherlands,1150487
New Zealand,324480
Norway,334439
Poland,1855918
Portugal,560817
Slovak Republic,271150
Slovenia,101547
Spain,2464606
Sweden,581853
Switzerland,469799
Turkiye,6688144
United Kingdom,4004388
United States,22705779
G20,345189803
EU25,23904355
OECD,88112381
