Country,Education_student_work,Education_employed_other,Education_employed,Education_unemployed,Education_inactive,Education,NE_employed,NE_unemployed,NE_inactive,NE_neet,NE,Total,Amount
Australia,5,30,36,2,10,48,41,4,7,11,52,100,1631532
Austria,8,14,22,1,26,49,40,4,6,10,51,100,498119
Belgium,1,8,10,1,58,68,22,4,6,10,32,100,675071
Canada,,25,25,2,23,50,38,5,7,12,50,100,2520278
Chile,,8,8,3,45,55,19,8,18,26,45,100,1378746
Colombia,,7,7,2,23,32,39,11,17,29,68,100,4338110
Costa Rica,,14,14,9,27,50,27,11,12,23,50,100,410043
Czech Republic,0,,0,,58,58,11,0,30,31,42,100,
Denmark,,33,33,4,22,58,32,3,7,10,42,100,373816
Estonia,,25,25,5,29,58,27,6,9,15,42,100,63252
Finland,,23,23,4,32,59,30,3,8,11,41,100,304825
France,9,9,18,2,36,56,29,7,8,15,44,100,3948282
Germany,15,19,34,1,26,62,30,2,6,9,38,100,4526127
Greece,,5,5,2,59,66,17,10,7,17,34,100,499995
Hungary,0,3,3,0,47,50,36,4,9,14,50,100,519613
Iceland,,38,38,3,14,56,38,3,3,6,44,100,26132
Ireland,,29,29,3,26,57,33,4,5,9,43,100,318785
Israel,,11,11,1,22,34,49,3,15,17,66,100,695600
Italy,,3,3,1,49,53,23,9,16,24,47,100,2927450
Japan,,,,,,,,,,,,,6263291
Korea,,,,,,,,,,,,,3099640
Latvia,,14,14,,44,58,30,5,7,12,42,100,83939
Lithuania,,14,14,,42,56,30,6,8,14,44,100,138574
Luxembourg,,,,,59,72,19,,,,28,100,38826
Mexico,,10,10,1,28,39,41,3,17,20,61,100,10821598
Netherlands,,53,53,4,14,71,25,1,3,4,29,100,1150487
New Zealand,,16,16,1,11,28,57,5,9,14,72,100,324480
Norway,2,35,37,3,24,65,28,2,5,7,35,100,334439
Poland,,9,9,1,47,57,30,4,9,13,43,100,1855918
Portugal,,6,6,2,55,62,26,7,5,11,38,100,560817
Slovak Republic,,4,4,,57,61,26,7,6,13,39,100,271150
Slovenia,,18,18,2,49,69,22,3,6,9,31,100,101547
Spain,,9,9,3,48,61,22,9,8,17,39,100,2464606
Sweden,,18,18,8,32,57,34,5,4,9,43,100,581853
Switzerland,17,17,34,2,17,53,34,3,9,12,47,100,469799
Türkiye,,10,10,3,20,33,34,9,24,33,67,100,
United Kingdom,6,15,21,1,23,45,43,4,8,12,55,100,4004388
United States,,18,18,1,26,45,40,4,11,15,55,100,22705779
OECD,,17,18,2,34,54,31,5,10,15,46,100,88112381
EU25,,15,15,2,42,60,27,5,9,14,40,100,23904355
G20,,,,,,,,,,,,,345189803
